ORGANIZAÇÃO;SERVIÇO;NOME FANTASIA;CAPAC.; VALOR MENSAL 
ASSOCIAÇÃO DE MULHERES AMIGAS DE JOVA RURAL;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA JOVA RURAL I;120;36050
ASSOCIAÇÃO DE MULHERES AMIGAS DE JOVA RURAL;CENTRO DIA PARA IDOSO;CENTRO DIA JOVA RURAL ADONIRAM BARBOSA;30;77274
ASSOCIAÇÃO DE MULHERES AMIGAS DE JOVA RURAL;SCFV - MODALIDADE: NÚCLEO DE CONVIVÊNCIA DE IDOSOS;NCI JOVA RURAL II;200;35195
ASSOCIAÇÃO DE PROTEÇÃO À MATERNIDADE A INFÂNCIA E ADOLESCÊNCIA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;NOSSA SENHORA DOS REMÉDIOS;150;45331
ASSOCIAÇÃO DE PROTEÇÃO À MATERNIDADE A INFÂNCIA E ADOLESCÊNCIA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA CRIANÇA CRESCENDO CIDADÃ;120;37738
ASSOCIAÇÃO DE PROTEÇÃO À MATERNIDADE A INFÂNCIA E ADOLESCÊNCIA ;SCFV - MODALIDADE: NÚCLEO DE CONVIVÊNCIA DE IDOSOS;0;100;16882
ASSOCIAÇÃO DE VOLUNTÁRIOS INTEGRADOS NO BRASIL - AVIB;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA JARDIM LOURDES - AVIB;120;41208
ASSOCIAÇÃO DE VOLUNTÁRIOS INTEGRADOS NO BRASIL - AVIB;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA VILA YOLANDA - AVIB;120;45907
ASSOCIAÇÃO DE VOLUNTÁRIOS INTEGRADOS NO BRASIL - AVIB;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA VILA PAULISTA;120;45818
ASSOCIAÇÃO DE VOLUNTÁRIOS INTEGRADOS NO BRASIL - AVIB;CENTRO DE DEFESA E DE CONVIVÊNCIA DA MULHER;VIVIANE DOS SANTOS;100;37047
ASSOCIAÇÃO DE VOLUNTÁRIOS INTEGRADOS NO BRASIL - AVIB;CENTRO DE DEFESA E DE CONVIVÊNCIA DA MULHER;CASA ANASTÁCIA;100;38406
ASSOCIAÇÃO DE VOLUNTÁRIOS INTEGRADOS NO BRASIL - AVIB;SERVIÇO DE ASSISTÊNCIA SOCIAL À FAMÍLIA E PROTEÇÃO SOCIAL BÁSICA NO DOMICÍLIO;SASF AVIB;1000;69658
ASSOCIAÇÃO DEHONIANA BRASIL MERIDIONAL - ADBM;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;PADRE GREGÓRIO WESTRUPP;360;101742
ASSOCIAÇÃO DEHONIANA BRASIL MERIDIONAL - ADBM;SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA CRIANÇAS E ADOLESCENTES;SAICA ABRIGO SÃO JUDAS TADEU;15;84513
ASSOCIAÇÃO DIVINA MISERICÓRDIA;SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA JOVENS E ADULTOS COM DEFICIÊNCIA - MODALIDADE RESIDÊNCIA INCLUSIVA;RESIDÊNCIA LAR DIVINA MISERICÓRDIA;10;103820
ASSOCIAÇÃO DO ABRIGO NOSSA SENHORA RAINHA DA PAZ DO JARDIM FIM DE SEMANA;SCFV - MODALIDADE: NÚCLEO DE CONVIVÊNCIA DE IDOSOS;0;130;26667
ASSOCIAÇÃO DO ABRIGO NOSSA SENHORA RAINHA DA PAZ DO JARDIM FIM DE SEMANA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA RAINHA DA PAZ;120;47208
ASSOCIAÇÃO DO ABRIGO NOSSA SENHORA RAINHA DA PAZ DO JARDIM FIM DE SEMANA;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;CJ RAINHA DA PAZ;120;49235
ASSOCIAÇÃO DO ABRIGO NOSSA SENHORA RAINHA DA PAZ DO JARDIM FIM DE SEMANA;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;CJ RAINHA DA PAZ I;120;43653
ASSOCIAÇÃO DO PARQUE SANTA AMÉLIA E BALNEÁRIO SÃO FRANCISCO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA PARQUE SANTA AMÉLIA E ADJC.;120;41208
ASSOCIAÇÃO DOS CAVALEIROS DA SOBERANA ORDEM MILITAR DE MALTA DE SÃO PAULO E BRASIL MERIDIONAL;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CRUZ DE MALTA;150;45331
ASSOCIAÇÃO DOS CAVALEIROS DA SOBERANA ORDEM MILITAR DE MALTA DE SÃO PAULO E BRASIL MERIDIONAL;MEDIDAS SÓCIO EDUCATIVAS EM MEIO ABERTO;MSE / MA CRUZ DE MALTA;120;56324
ASSOCIAÇÃO DOS EXCEPCIONAIS SÃO DOMINGOS SÁVIO;Núcleo de Apoio a Inclusão Social Para Pessoas com Deficiência II de 7 Anos a 14 Anos e III a Partir de 15 Anos;AESDS SÃO DOMINGOS SÁVIO;60;42785
ASSOCIAÇÃO DOS EXCEPCIONAIS SÃO DOMINGOS SÁVIO;SCFV - MODALIDADE: NÚCLEO DE CONVIVÊNCIA DE IDOSOS;0;200;39328
ASSOCIAÇÃO DOS MORADORES DE VILA ARCO IRIS - AMAI;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;AMAI I – VILA ARCO IRIS;120;41208
ASSOCIAÇÃO DOS MORADORES DE VILA ARCO IRIS - AMAI;SERVIÇO DE ASSISTÊNCIA SOCIAL À FAMÍLIA E PROTEÇÃO SOCIAL BÁSICA NO DOMICÍLIO;SASF GRAJAU IV;1000;69505
ASSOCIAÇÃO DOS MORADORES DE VILA ARCO IRIS - AMAI;SERVIÇO DE ASSISTÊNCIA SOCIAL À FAMÍLIA E PROTEÇÃO SOCIAL BÁSICA NO DOMICÍLIO;SASF GRAJAU V;1000;68158
ASSOCIAÇÃO DOS MORADORES DE VILA ARCO IRIS - AMAI;SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA CRIANÇAS E ADOLESCENTES;SAICA ARCO IRIS;20;78021
ASSOCIAÇÃO DOS MORADORES DE VILA ARCO IRIS - AMAI;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA AMAI II - CONJ. HAB. BRIG. FARIA LIMA;120;45220
ASSOCIAÇÃO DOS MORADORES DO JARDIM KAGOHARA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;JARDIM KAGOHARA;120;41208
ASSOCIAÇÃO EDUCACIONAL E ASSISTENCIAL CASA DO ZEZINHO;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;CASA DO ZEZINHO;180;57021
ASSOCIAÇÃO EDUCACIONAL E ASSISTENCIAL CASA DO ZEZINHO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CASA DO ZEZINHO;510;129213
ASSOCIAÇÃO EDUCACIONAL E BENEFICENTE VALE DA BENÇÃO;SERVIÇO DE ASSISTÊNCIA SOCIAL À FAMÍLIA E PROTEÇÃO SOCIAL BÁSICA NO DOMICÍLIO;SASF VALE DA BENÇÃO PERUS;1000;59887
ASSOCIAÇÃO EDUCADORA E BENEFICENTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;CENTRO DE ACOLHIDA MISSÃO SCALABRINIANA;325;180821
ASSOCIAÇÃO ESPÍRITA FÉ, ESPERANÇA E CARIDADE;SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA CRIANÇAS E ADOLESCENTES;LAR DO PEQUENO APRENDIZ;20;88249
ASSOCIAÇÃO EVANGÉLICA BENEFICENTE;NÚCLEO DE CONVIVÊNCIA PARA ADULTOS EM SITUAÇÃO DE RUA;PORTO SEGURO;132;52701
ASSOCIAÇÃO EVANGÉLICA BENEFICENTE;INSTITUIÇÃO DE LONGA PERMANÊNCIA PARA IDOSOS - ILPI;CASA DE REPOUSO OTONIEL MOTA;30;85028
ASSOCIAÇÃO EVANGÉLICA BENEFICENTE;CENTRO DE DESENVOLVIMENTO SOCIAL E PRODUTIVO PARA ADOLESCENTES, JOVENS E ADULTOS - CEDESP;CEDESP AEB;200;92485
ASSOCIAÇÃO EVANGÉLICA BENEFICENTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;ATENDE III;300;190682
ASSOCIAÇÃO FAA DI BRUNO - FADIB ;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;SÃO JOÃO BATISTA;120;41208
ASSOCIAÇÃO FALA MULHER;CENTRO DE ACOLHIDA PARA MULHERES EM SITUAÇÃO DE VIOLÊNCIA;CASA MARIA ROSA;20;48643
ASSOCIAÇÃO FALA MULHER;NÚCLEO DE PROTEÇÃO JURÍDICO SOCIAL E APOIO PSICOLÓGICO - NPJ;0;120;31868
ASSOCIAÇÃO FALA MULHER;NÚCLEO DE PROTEÇÃO JURÍDICO SOCIAL E APOIO PSICOLÓGICO;NPJ CREAS VILA MARIA;120;31868
ASSOCIAÇÃO FALA MULHER;CENTRO DE DEFESA E DE CONVIVÊNCIA DA MULHER;CENTRO DE INTEGRAÇÃO SOCIAL DA MULHER I – CISM I;100;37748
ASSOCIAÇÃO FALA MULHER;CENTRO DE DEFESA E DE CONVIVÊNCIA DA MULHER;0;100;33546
ASSOCIAÇÃO FALA MULHER;NÚCLEO DE PROTEÇÃO JURÍDICO SOCIAL E APOIO PSICOLÓGICO - NPJ;0;120;31868
ASSOCIAÇÃO FALA MULHER;NÚCLEO DE PROTEÇÃO JURÍDICO SOCIAL E APOIO PSICOLÓGICO - NPJ;0;120;31868
ASSOCIAÇÃO FALA MULHER;CENTRO DE DEFESA E DE CONVIVÊNCIA DA MULHER;CENTRO DE INTEGRAÇÃO SOCIAL DA MULHER – CISM II;100;35885
ASSOCIAÇÃO FEMININA COMUNITÁRIA CONJUNTO HABITACIONAL BRIGADEIRO EDUARDO GOMES;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;ALEGRIA DE VIVER;180;60037
ASSOCIAÇÃO FEMININA DE VILA ALPINA PARQUE SÃO LUCAS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA VILA ALPINA;120;44997
ASSOCIAÇÃO FRANCISCANA DE SOLIDARIEDADE - SEFRAS;SERVIÇO DE INCLUSÃO SOCIAL E PRODUTIVA;SERVIÇO FRANCISCANO DE SOLIDARIEDADE - SEFRAS;50;24213
ASSOCIAÇÃO FRANCISCANA DE SOLIDARIEDADE - SEFRAS;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;CENTRO DE ACOLHIDA IMIGRANTES;190;110190
ASSOCIAÇÃO FRANCISCANA DE SOLIDARIEDADE - SEFRAS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;0;120;37738
ASSOCIAÇÃO FRANCISCANA DE SOLIDARIEDADE - SEFRAS;NÚCLEO DE CONVIVÊNCIA PARA ADULTOS EM SITUAÇÃO DE RUA;NÚCLEO DE CONVIVÊNCIA SÉ;300;122621
ASSOCIAÇÃO FRANCISCANA DE SOLIDARIEDADE - SEFRAS;MEDIDAS SÓCIO EDUCATIVAS EM MEIO ABERTO;MSE JAÇANÃ;90;49575
ASSOCIAÇÃO FRANCISCANA DE SOLIDARIEDADE - SEFRAS;CENTRO DIA PARA IDOSO;0;30;77696
ASSOCIAÇÃO GRUPO DE MÃES NOVO AMANHECER;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;NOVO AMANHECER;120;41208
ASSOCIAÇÃO GRUPO DE MÃES NOVO AMANHECER;SCFV - MODALIDADE: NÚCLEO DE CONVIVÊNCIA DE IDOSOS;0;100;18446
ASSOCIAÇÃO GRUPO DE MÃES NOVO AMANHECER;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA NOVO AMANHECER III - JD. SÃO PAULO;120;44552
ASSOCIAÇÃO GRUPO VIVA - VIDA DE VILA CURUÇÁ VELHA;SCFV - MODALIDADE: NÚCLEO DE CONVIVÊNCIA DE IDOSOS;ASSOCIAÇÃO GRUPO VIVA - VIDA DE VILA CURUÇÁ VELHA;100;18446
ASSOCIAÇÃO IDADE DOURADA DE PINHEIROS;SCFV - MODALIDADE: NÚCLEO DE CONVIVÊNCIA DE IDOSOS;IDADE DOURADA;200;39328
ASSOCIAÇÃO INSTRUTORA DA JUVENTUDE FEMININA - INSTITUTO SEDES SAPIENTIAE;Serviço de Proteção Social às Crianças e Adolescentes Vítimas de Violência;CNRVV - INSTITUTO SEDES SAPIENTIAE;80;37981
ASSOCIAÇÃO INSTRUTORA DA JUVENTUDE FEMININA - INSTITUTO SEDES SAPIENTIAE;Serviço de Proteção Social às Crianças e Adolescentes Vítimas de Violência;SPSCAVV;80;41387
ASSOCIAÇÃO JOVENS DO FUTURO;SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA CRIANÇAS E ADOLESCENTES;SAICA JOVENS DO FUTURO;20;91545
ASSOCIAÇÃO JOVENS DO FUTURO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA SÃO NORBERTO;180;63648
ASSOCIAÇÃO JOVENS DO FUTURO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA SANTA FÉ;180;63595
ASSOCIAÇÃO JOVENS DO FUTURO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA PARQUE FLORESTAL;120;46208
ASSOCIAÇÃO JOVENS DO FUTURO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;0;120;44775
ASSOCIAÇÃO LAR CRIANÇA FELIZ;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA NOSSO LAR I;210;61243
ASSOCIAÇÃO LAR CRIANÇA FELIZ;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA NOSSO LAR III;240;69662
ASSOCIAÇÃO MADRE TEREZA DE CALCULTÁ;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA CENTRO SOCIAL E EDUCATIVO BEATA MIRIAM - CNPJ sob o n. 96.523.063/0002-82;120;37738
ASSOCIAÇÃO MÃE PEREGRINA - AMAP;NÚCLEO DE PROTEÇÃO JURÍDICO SOCIAL E APOIO PSICOLÓGICO;0;120;42096
ASSOCIAÇÃO MÃE PEREGRINA - AMAP;SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA CRIANÇAS E ADOLESCENTES;SAICA LAURA E DOMINGOS;20;94172
ASSOCIAÇÃO MÃOS AMIGAS DA RECONCILIAÇÃO - A.M.A.R.;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CONSTRUIR O AMANHÃ;90;34701
ASSOCIAÇÃO MÃOS AMIGAS DA RECONCILIAÇÃO - A.M.A.R.;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;SANTA MADALENA;60;28373
ASSOCIAÇÃO MARIA FLOS CARMELI;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA CENTRO COMUNITÁRIO IRMÃ DERLY FABRES;120;41208
ASSOCIAÇÃO MARIA HELEN DREXEL - AMHD;CASA LAR;CASA LAR 1 E CASA LAR 2;20;58599
ASSOCIAÇÃO MARLY CURY;SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA CRIANÇAS E ADOLESCENTES;AMC ABRIGO ALTERNATIVO;20;86571
ASSOCIAÇÃO MENINO DEUS;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;NÚCLEO SÃO JOSÉ;90;38195
ASSOCIAÇÃO MENINO DEUS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA TELIA GIROTTI;180;60037
ASSOCIAÇÃO MENINO DEUS;SCFV - MODALIDADE: NÚCLEO DE CONVIVÊNCIA DE IDOSOS;NCI BEM VIVER;100;18149
ASSOCIAÇÃO MENINO DEUS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA MENINO DEUS;120;48232
ASSOCIAÇÃO MENINO DEUS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA MARY;180;60037
ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL  AMAS CENTRAL SP;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;CENTRO DE ACOLHIDA CAMBUCI;200;112549
ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL  AMAS CENTRAL SP;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;AMAS;120;37738
ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL AMAS JABAQUARA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;AMAS JABAQUARA;120;41208
ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL AMAS PINHEIROS;SCFV - MODALIDADE: NÚCLEO DE CONVIVÊNCIA DE IDOSOS;NCI PROJETO SAMUEL RANGEL;130;20967
ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL AMAS VILA FORMOSA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;AMAS;60;28373
ASSOCIAÇÃO METODISTA DE AÇÃO SOCIAL AMAS VILA MEDEIROS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;AMAS VILA MEDEIROS;120;37738
MOVIMENTO COMUNITÁRIO DE PROMOÇÃO HUMANA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;IGUALDADE;180;55129
ASSOCIAÇÃO MUTIRÃO DO POBRE;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;MUTIRÃO JARDIM FONTALIS;120;37738
ASSOCIAÇÃO MUTIRÃO DO POBRE;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;MUTIRÃO DO POBRE;120;37738
ASSOCIAÇÃO MUTIRÃO DO POBRE;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;HELENA PORTUGAL ALBUQUERQUE;150;49537
ASSOCIAÇÃO NACIONAL DE EDUCAÇÃO DA COMPANHIA DE MARIA - ANECOM;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA CEJOLE;180;55129
ASSOCIAÇÃO NOVOLHAR;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;UM NOVO OLHAR SOBRE O BIXIGA;120;46208
ASSOCIAÇÃO OBRA DO BERÇO;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;CJ OBRA DO BERÇO;150;49537
ASSOCIAÇÃO OBRA DO BERÇO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;OBRA DO BERÇO;210;61243
ASSOCIAÇÃO OBRAS SOCIAIS SANTA CRUZ;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;SANTA TEREZINHA;60;25332
ASSOCIAÇÃO OBRAS SOCIAIS SANTA CRUZ;Núcleo de Apoio a Inclusão Social Para Pessoas com Deficiência II de 7 Anos a 14 Anos e III a Partir de 15 Anos;RECANTO NOSSA SENHORA DE LOURDES;120;59260
ASSOCIAÇÃO PALOTINA;CENTRO DE ACOLHIDA ESPECIAL PARA MULHERES IMIGRANTES;CAEMI PENHA;80;110882
ASSOCIAÇÃO PELA FAMÍLIA ;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CENTRO DE CONVIVÊNCIA CLARISSE FERRAZ WEY;100;34063
ASSOCIAÇÃO PELA FAMÍLIA ;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CENTRO DE CONVIVÊNCIA GRACINHA;150;45182
ASSOCIAÇÃO PROBRASIL;SERVIÇO DE ASSISTÊNCIA SOCIAL À FAMÍLIA E PROTEÇÃO SOCIAL BÁSICA NO DOMICÍLIO;SASF PROBRASIL ;1000;64558
ASSOCIAÇÃO PROBRASIL;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA JD. ORIENTAL E JD. DAS FONTES;180;65037
ASSOCIAÇÃO PROBRASIL;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA PARQUE RECREIO - JD. PROGRESSO;120;46500
ASSOCIAÇÃO PROBRASIL;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA JARDIM DOS ÁLAMOS;120;41208
ASSOCIAÇÃO PROMOCIONAL DO CORAÇÃO IMACULADO DE MARIA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;APROCIMA;240;67535
ASSOCIAÇÃO RECICLAZARO;CENTRO DE ACOLHIDA ESPECIAL PARA IDOSOS;CASA DE SIMEÃO;150;170392
ASSOCIAÇÃO RECICLAZARO;CENTRO DE ACOLHIDA ESPECIAL PARA MULHERES ;CASA DE MARTA E MARIA;82;107989
ASSOCIAÇÃO RECICLAZARO;CENTRO DE ACOLHIDA COM INSERÇÃO PRODUTIVA PARA ADULTOS II POR 24 HORAS;CASA SÃO LÁZARO;160;126586
ASSOCIAÇÃO RECICLÁZARO;CENTRO DIA PARA IDOSO;CENTRO DIA GUADALUPE;30;77696
ASSOCIAÇÃO REDE RUA;CENTRO DE ACOLHIDA PARA ADULTOS I POR 16 HORAS;POUSADA DA ESPERANÇA;120;83648
ASSOCIAÇÃO REDE RUA;NÚCLEO DE CONVIVÊNCIA COM RESTAURANTE COMUNITÁRIO PARA ADULTOS EM SITUAÇÃO DE RUA.;RESTAURANTE PENAFORTE;300;152088
ASSOCIAÇÃO REVIVER;SCFV - MODALIDADE: NÚCLEO DE CONVIVÊNCIA DE IDOSOS;NCI PANAMERICANO;200;38733
ASSOCIAÇÃO SAL DA TERRA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA SAL DA TERRA;120;37738
ASSOCIAÇÃO SANTA CECÍLIA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;SANTA CECÍLIA;120;41208
ASSOCIAÇÃO SANTA CECÍLIA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA JARDIM IBIRAPUERA;120;45820
ASSOCIAÇÃO SANTA CECÍLIA;SERVIÇO DE ASSISTÊNCIA SOCIAL À FAMÍLIA E PROTEÇÃO SOCIAL BÁSICA NO DOMICÍLIO;SASF CAPÃO REDONDO I;1000;71558
ASSOCIAÇÃO SANTA CECÍLIA;SERVIÇO DE ASSISTÊNCIA SOCIAL À FAMÍLIA E PROTEÇÃO SOCIAL BÁSICA NO DOMICÍLIO;SASF CAMPO LIMPO;1000;68755
ASSOCIAÇÃO SANTA CECÍLIA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA JARDIM SANTO ANTONIO;120;45208
